"minute" "cpu" "ram"
"1" 1 0 6.46209081497083
"2" 2 0.8 6.45986909633817
"3" 3 0 6.45984039244264
"4" 4 1.7 6.46075778379124
"5" 5 0.8 6.46250644295541
"6" 6 0.8 6.46386818987695
"7" 7 0.8 6.4616751832926
"8" 8 1.7 6.46745167740502
"9" 9 11.2 7.11394306179488
"10" 10 2.5 12.0229991290902
"11" 11 9.8 21.2645133769679
"12" 12 38 21.8239421286731
"13" 13 0 16.72198746062
"14" 14 0.8 16.7126562423628
"15" 15 5.9 16.717109093414
"16" 16 0.8 16.7151098192937
"17" 17 0.8 16.7182951489967
"18" 18 1.6 16.7173319822583
"19" 19 0 16.7159986844795
"20" 20 0.8 16.7173319822583
"21" 21 0 16.7097766281788
"22" 22 0 16.7119987911433
"23" 23 1.6 16.7151841070198
"24" 24 0.8 16.7128876563292
"25" 25 0 16.7116286304749
"26" 26 0 16.7138508033155
"27" 27 1.6 16.7159986844795
"28" 28 0.8 16.7165174107242
"29" 29 0.8 16.7151098192937
"30" 30 0 16.7106654933646
"31" 31 0 16.7062954156574
"32" 32 0 16.7107397613386
"33" 33 0 16.7094064576343
"34" 34 0.8 16.7115543585504
"35" 35 0 16.7116286304749
"36" 36 0 16.7128876563292
"37" 37 0 16.7182951489967
"38" 38 0 16.7159986844795
"39" 39 0 16.7173319822583
"40" 40 0 16.7182951489967
"41" 41 0 16.7169618452923
"42" 42 0.8 16.7151098192937
"43" 43 0 16.7173319822583
"44" 44 0 16.7173319822583
"45" 45 0 16.7173319822583
"46" 46 0 16.7182208474441
"47" 47 0.8 16.7173319822583
"48" 48 1.7 16.7151098192937
"49" 49 0 16.7169618452923
"50" 50 0 16.7151098192937
"51" 51 0 16.7191840181329
"52" 52 0 16.7169618452923
"53" 53 0 16.7151098192937
"54" 54 0 16.7173319822583
"55" 55 0 16.7151098192937
"56" 56 0.8 16.7151098192937
"57" 57 0 16.7128876563292
"58" 58 0 16.7159986844795
"59" 59 0 16.7115543585504
"60" 60 0 16.7094064576343
"61" 61 0 16.7062954156574
"62" 62 0.8 16.7116286304749
"63" 63 0 16.7128876563292
"64" 64 0 16.7094064576343
"65" 65 0 16.7116286304749
"66" 66 1.7 16.7138508033155
"67" 67 0 16.708887762993
"68" 68 0.8 16.7174062798605
"69" 69 0 16.7142209541079
"70" 70 0.8 16.7151841070198
"71" 71 0 16.7119987911433
"72" 72 0 16.7177764148512
"73" 73 0.8 16.7097766281788
"74" 74 0.8 16.7151098192937
"75" 75 0 16.7155542518866
"76" 76 0 16.708887762993
"77" 77 0.8 16.7129619341792
"78" 78 0.8 16.7155542518866
"79" 79 0 16.718665280037
"80" 80 0 16.7151098192937
"81" 81 0 16.7151841070198
"82" 82 0 16.7142209541079
"83" 83 0.8 16.7164431170724
"84" 84 0 16.7151841070198
"85" 85 0 16.7119987911433
"86" 86 0.8 16.7107397613386
"87" 87 0 16.7151841070198
"88" 88 0 16.7196284527011
"89" 89 0.8 16.7151841070198
"90" 90 0 16.7151841070198
"91" 91 0 16.7115543585504
"92" 92 1.6 16.7129619341792
"93" 93 0 16.7129619341792
"94" 94 0 16.7053323022497
"95" 95 0 16.708887762993
"96" 96 0 16.7155542518866
"97" 97 0 16.7155542518866
"98" 98 0 16.7174062798605
"99" 99 0 16.7177764148512
"100" 100 0 16.7151841070198
"101" 101 0 16.7177764148512
"102" 102 0 16.7151841070198
"103" 103 0 16.7151098192937
"104" 104 0 16.7174062798605
"105" 105 0 16.7174062798605
"106" 106 0.8 16.7151841070198
"107" 107 0 16.7142952378836
"108" 108 0 16.7155542518866
"109" 109 0.8 16.7151841070198
"110" 110 0 16.718665280037
"111" 111 0 16.7173319822583
"112" 112 0 16.7187395835648
"113" 113 0 16.7151841070198
"114" 114 0 16.7208874430015
"115" 115 0.8 16.7199985778157
"116" 116 0 16.7187395835648
"117" 117 0 16.7107397613386
"118" 118 0.8 16.7142209541079
"119" 119 0 16.7174062798605
"120" 120 8.3 18.9923824253575
"121" 121 11.7 18.991133530366
"122" 122 12.4 20.7826492744606
"123" 123 9.1 21.2697495611209
"124" 124 0 16.7066656000284
"125" 125 0 16.7181575309279
"126" 126 0 16.7180832147937
"127" 127 0 16.7234174964438
"128" 128 0 16.7234174964438
"129" 129 0 16.721565071279
"130" 130 0.8 16.7234174964438
"131" 131 0 16.7211948790896
"132" 132 0 16.7211948790896
"133" 133 0 16.7211948790896
"134" 134 0 16.7234174964438
"135" 135 0 16.7228986357635
"136" 136 0.8 16.7202315067945
"137" 137 0 16.7224541142687
"138" 138 0 16.7158605974395
"139" 139 0.8 16.7180088993203
"140" 140 0.8 16.7180088993203
"141" 141 0 16.7202315067945
"142" 142 0.8 16.7203058321479
"143" 143 0 16.7180832147937
"144" 144 0 16.7211948790896
"145" 145 0 16.7211948790896
"146" 146 0 16.7180832147937
"147" 147 0 16.7136379800853
"148" 148 0 16.7189722617354
"149" 149 0 16.7203058321479
"150" 150 0 16.714601327353
"151" 151 0 16.7180088993203
"152" 152 0 16.7158605974395
"153" 153 0 16.714527027027
"154" 154 0.8 16.7158605974395
"155" 155 0 16.714527027027
"156" 156 0 16.713563684372
"157" 157 0 16.7180832147937
"158" 158 0 16.7203058321479
"159" 159 0.8 16.7234174964438
"160" 160 0 16.7202315067945
"161" 161 0 16.7211948790896
"162" 162 0 16.7203058321479
"163" 163 0 16.7220839260313
"164" 164 0 16.7225284495021
"165" 165 0 16.7211948790896
"166" 166 0.8 16.7212692090559
"167" 167 0 16.7203058321479
"168" 168 0 16.7203058321479
"169" 169 0 16.714527027027
"170" 170 0 16.7180832147937
"171" 171 0 16.7189722617354
"172" 172 0 16.7149715504979
"173" 173 0 16.7149715504979
"174" 174 0 16.7203058321479
"175" 175 0 16.7189722617354
"176" 176 0.8 16.7127489331437
"177" 177 0 16.7180832147937
"178" 178 0 16.7171941678521
"179" 179 0 16.7180832147937
"180" 180 1.6 16.7171941678521
"181" 181 0.8 16.7180832147937
"182" 182 0 16.7167496443812
"183" 183 0 16.7149715504979
"184" 184 0 16.7158605974395
"185" 185 0 16.7158605974395
"186" 186 0.8 16.7167496443812
"187" 187 0 16.7176386913229
"188" 188 0 16.7211948790896
"189" 189 0 16.7225284495021
"190" 190 0 16.7203058321479
"191" 191 1.6 16.7185277382646
"192" 192 0 16.721565071279
"193" 193 0 16.7225284495021
"194" 194 0 16.7225284495021
"195" 195 0 16.7203058321479
"196" 196 0 16.7225284495021
"197" 197 0 16.7224541142687
"198" 198 0.8 16.7202315067945
"199" 199 0 16.7202315067945
"200" 200 0 16.7203058321479
"201" 201 0 16.7189722617354
"202" 202 0 16.7234174964438
"203" 203 0 16.7211948790896
"204" 204 0 16.7211948790896
"205" 205 0 16.7189722617354
"206" 206 0.8 16.7225284495021
"207" 207 0 16.7216394025605
"208" 208 0 16.7136379800853
"209" 209 0 16.7180832147937
"210" 210 0 16.7189722617354
"211" 211 0 16.7189722617354
"212" 212 0.8 16.7225284495021
"213" 213 0.8 16.7225284495021
"214" 214 0 16.7203058321479
"215" 215 0 16.7211948790896
"216" 216 0 16.7202315067945
"217" 217 0 16.7180832147937
"218" 218 0 16.7225284495021
"219" 219 0 16.7224541142687
"220" 220 0 16.7225284495021
"221" 221 0 16.7189722617354
"222" 222 0.8 16.7207503556188
"223" 223 0 16.7220839260313
"224" 224 0 16.7185277382646
"225" 225 0 16.7197869852997
"226" 226 0 16.7238620199146
"227" 227 0 16.7216394025605
"228" 228 0.8 16.7206760282894
"229" 229 0 16.7197869852997
"230" 230 0 16.7194167852063
"231" 231 0 16.7163051209104
"232" 232 0 16.7217137345027
"233" 233 0 16.7171941678521
